instant,date,season,year,month,is holiday,day of week,is work day,weather,temp,felt temp,humidity,windspeed,casual,registered,total riders
478,2012-04-22,2:summer,1,4,0,0:sunday,0,3,0.396667,0.389504,0.835417,0.344546,120,907,1027
528,2012-06-11,2:summer,1,6,0,1:monday,1,2,0.720833,0.659721,0.587917,0.207713,1017,5647,6664
315,2011-11-11,4:winter,0,11,1,5:friday,0,1,0.324167,0.306817,0.44625,0.314675,440,2928,3368
632,2012-09-23,4:winter,1,9,0,0:sunday,0,1,0.529167,0.518933,0.46708299999999997,0.22325799999999998,2454,5453,7907
653,2012-10-14,4:winter,1,10,0,0:sunday,0,1,0.521667,0.508204,0.640417,0.27861199999999997,2080,4559,6639
702,2012-12-02,4:winter,1,12,0,0:sunday,0,2,0.3475,0.35920799999999997,0.823333,0.12437899999999999,892,3757,4649
317,2011-11-13,4:winter,0,11,0,0:sunday,0,1,0.440833,0.43055,0.458333,0.281721,1004,2713,3717
375,2012-01-10,1:spring,1,1,0,2:tuesday,1,1,0.308696,0.318826,0.646522,0.187552,173,3425,3598
313,2011-11-09,4:winter,0,11,0,3:wednesday,1,1,0.4,0.40907899999999997,0.758333,0.06219580000000001,305,3804,4109
503,2012-05-17,2:summer,1,5,0,4:thursday,1,1,0.593333,0.572613,0.52,0.229475,1242,6142,7384
602,2012-08-24,3:fall,1,8,0,5:friday,1,2,0.7025,0.6471,0.615,0.07214580000000001,1325,6257,7582
302,2011-10-29,4:winter,0,10,0,6:saturday,0,3,0.25416700000000003,0.227913,0.8825,0.351371,57,570,627
373,2012-01-08,1:spring,1,1,0,0:sunday,0,1,0.3375,0.340258,0.465,0.19154200000000002,599,2826,3425
214,2011-08-02,3:fall,0,8,0,2:tuesday,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845
79,2011-03-20,1:spring,0,3,0,0:sunday,0,1,0.3325,0.32575,0.47375,0.20772100000000002,1047,1424,2471
193,2011-07-12,3:fall,0,7,0,2:tuesday,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258
102,2011-04-12,2:summer,0,4,0,2:tuesday,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034
379,2012-01-14,1:spring,1,1,0,6:saturday,0,1,0.18,0.183087,0.4575,0.187183,333,2160,2493
490,2012-05-04,2:summer,1,5,0,5:friday,1,1,0.6275,0.590917,0.735417,0.162938,1069,5227,6296
434,2012-03-09,1:spring,1,3,0,5:friday,1,2,0.410833,0.397083,0.407083,0.4148,447,4122,4569
159,2011-06-08,2:summer,0,6,0,3:wednesday,1,1,0.775833,0.727279,0.6220829999999999,0.136817,676,3725,4401
530,2012-06-13,2:summer,1,6,0,3:wednesday,1,1,0.655833,0.611117,0.582083,0.343279,1173,6248,7421
184,2011-07-03,3:fall,0,7,0,0:sunday,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649
715,2012-12-15,4:winter,1,12,0,6:saturday,0,1,0.324167,0.338383,0.650417,0.10635,767,4280,5047
300,2011-10-27,4:winter,0,10,0,4:thursday,1,2,0.47,0.457046,0.812917,0.19776300000000002,240,2419,2659
689,2012-11-19,4:winter,1,11,0,1:monday,1,2,0.380833,0.375621,0.623333,0.235067,449,5050,5499
339,2011-12-05,4:winter,0,12,0,1:monday,1,2,0.385833,0.393925,0.827083,0.06220830000000001,233,3578,3811
523,2012-06-06,2:summer,1,6,0,3:wednesday,1,1,0.554167,0.542292,0.61125,0.077125,1027,6028,7055
608,2012-08-30,3:fall,1,8,0,4:thursday,1,1,0.706667,0.652779,0.590417,0.0771167,1172,6541,7713
148,2011-05-28,2:summer,0,5,0,6:saturday,0,1,0.655833,0.612379,0.729583,0.23009200000000002,2001,2757,4758
569,2012-07-22,3:fall,1,7,0,0:sunday,0,2,0.6675,0.623125,0.7625,0.09392080000000001,2544,4866,7410
99,2011-04-09,2:summer,0,4,0,6:saturday,0,2,0.3425,0.34152899999999997,0.8775,0.13308299999999998,879,1576,2455
205,2011-07-24,3:fall,0,7,0,0:sunday,0,1,0.83,0.794829,0.550833,0.16917100000000002,1050,2556,3606
710,2012-12-10,4:winter,1,12,0,1:monday,1,2,0.43583299999999997,0.435575,0.925,0.190308,329,4841,5170
640,2012-10-01,4:winter,1,10,0,1:monday,1,2,0.520833,0.512,0.649167,0.09080419999999999,763,6015,6778
134,2011-05-14,2:summer,0,5,0,6:saturday,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409
337,2011-12-03,4:winter,0,12,0,6:saturday,0,1,0.299167,0.310604,0.612917,0.0957833,706,2908,3614
457,2012-04-01,2:summer,1,4,0,0:sunday,0,2,0.425833,0.41728699999999996,0.67625,0.172267,2347,3694,6041
404,2012-02-08,1:spring,1,2,0,3:wednesday,1,2,0.25666700000000003,0.266421,0.722917,0.133721,109,2693,2802
111,2011-04-21,2:summer,0,4,0,4:thursday,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189
423,2012-02-27,1:spring,1,2,0,1:monday,1,1,0.366667,0.357954,0.490833,0.26803299999999997,253,4069,4322
529,2012-06-12,2:summer,1,6,0,2:tuesday,1,2,0.6533329999999999,0.597875,0.833333,0.21454600000000001,477,4495,4972
474,2012-04-18,2:summer,1,4,0,3:wednesday,1,2,0.463333,0.457038,0.569167,0.16791199999999998,347,4020,4367
387,2012-01-22,1:spring,1,1,0,0:sunday,0,2,0.1625,0.16225,0.79625,0.199638,196,1781,1977
21,2011-01-21,1:spring,0,1,0,5:friday,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543
89,2011-03-30,2:summer,0,3,0,3:wednesday,1,2,0.3,0.29735,0.646667,0.17288800000000001,168,1368,1536
489,2012-05-03,2:summer,1,5,0,4:thursday,1,2,0.56,0.537242,0.768333,0.133696,764,5657,6421
169,2011-06-18,2:summer,0,6,0,6:saturday,0,1,0.696667,0.643954,0.670417,0.11940799999999999,1807,3312,5119
658,2012-10-19,4:winter,1,10,0,5:friday,1,2,0.563333,0.537896,0.815,0.134954,753,4671,5424
664,2012-10-25,4:winter,1,10,0,4:thursday,1,2,0.55,0.529688,0.800417,0.124375,875,6484,7359
122,2011-05-02,2:summer,0,5,0,1:monday,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401
84,2011-03-25,2:summer,0,3,0,5:friday,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210
637,2012-09-28,4:winter,1,9,0,5:friday,1,2,0.619167,0.585863,0.69,0.164179,1045,6370,7415
74,2011-03-15,1:spring,0,3,0,2:tuesday,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056
629,2012-09-20,3:fall,1,9,0,4:thursday,1,1,0.546667,0.532192,0.618333,0.11816700000000001,939,6781,7720
648,2012-10-09,4:winter,1,10,0,2:tuesday,1,2,0.446667,0.438112,0.761667,0.1903,601,5791,6392
673,2012-11-03,4:winter,1,11,0,6:saturday,0,2,0.343333,0.323846,0.49125,0.270529,1029,4109,5138
455,2012-03-30,2:summer,1,3,0,5:friday,1,2,0.37,0.375621,0.580833,0.138067,796,4663,5459
220,2011-08-08,3:fall,0,8,0,1:monday,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326
236,2011-08-24,3:fall,0,8,0,3:wednesday,1,1,0.673333,0.630692,0.605,0.253108,949,4181,5130
442,2012-03-17,1:spring,1,3,0,6:saturday,0,2,0.514167,0.505046,0.755833,0.110704,3155,4681,7836
447,2012-03-22,2:summer,1,3,0,4:thursday,1,1,0.554167,0.531567,0.83125,0.11756199999999999,1334,5537,6871
314,2011-11-10,4:winter,0,11,0,4:thursday,1,2,0.38,0.373721,0.813333,0.189067,190,2743,2933
628,2012-09-19,3:fall,1,9,0,3:wednesday,1,1,0.5525,0.540404,0.536667,0.215175,788,6803,7591
726,2012-12-26,1:spring,1,12,0,3:wednesday,1,3,0.243333,0.220333,0.823333,0.316546,9,432,441
13,2011-01-13,1:spring,0,1,0,4:thursday,1,1,0.165,0.150883,0.47041700000000003,0.301,38,1368,1406
654,2012-10-15,4:winter,1,10,0,1:monday,1,2,0.561667,0.53915,0.7075,0.296037,760,5115,5875
685,2012-11-15,4:winter,1,11,0,4:thursday,1,2,0.321667,0.324492,0.620417,0.15298699999999998,320,5125,5445
563,2012-07-16,3:fall,1,7,0,1:monday,1,1,0.763333,0.724125,0.645,0.164187,1088,5742,6830
586,2012-08-08,3:fall,1,8,0,3:wednesday,1,2,0.75,0.707717,0.672917,0.1107,1263,6271,7534
577,2012-07-30,3:fall,1,7,0,1:monday,1,1,0.730833,0.684987,0.66875,0.153617,1040,6065,7105
593,2012-08-15,3:fall,1,8,0,3:wednesday,1,1,0.706667,0.654037,0.619583,0.169771,1198,6149,7347
380,2012-01-15,1:spring,1,1,0,0:sunday,0,1,0.166667,0.161625,0.419167,0.251258,284,2027,2311
168,2011-06-17,2:summer,0,6,0,5:friday,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844
109,2011-04-19,2:summer,0,4,0,2:tuesday,1,2,0.505833,0.48925799999999997,0.665833,0.157971,409,2795,3204
622,2012-09-13,3:fall,1,9,0,4:thursday,1,1,0.6125,0.579558,0.637083,0.08272080000000001,1054,6750,7804
69,2011-03-10,1:spring,0,3,0,4:thursday,1,3,0.38909099999999996,0.385668,0.0,0.26187699999999997,46,577,623
98,2011-04-08,2:summer,0,4,0,5:friday,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471
149,2011-05-29,2:summer,0,5,0,0:sunday,0,1,0.6675,0.61555,0.81875,0.21393800000000002,2355,2433,4788
245,2011-09-02,3:fall,0,9,0,5:friday,1,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727
694,2012-11-24,4:winter,1,11,0,6:saturday,0,1,0.278333,0.24874200000000002,0.40458299999999997,0.376871,532,1745,2277
330,2011-11-26,4:winter,0,11,0,6:saturday,0,1,0.375833,0.385087,0.681667,0.0684208,1249,1819,3068
156,2011-06-05,2:summer,0,6,0,0:sunday,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906
394,2012-01-29,1:spring,1,1,0,0:sunday,0,1,0.2825,0.272721,0.31125,0.24005,558,2685,3243
185,2011-07-04,3:fall,0,7,1,1:monday,0,2,0.726667,0.665417,0.637917,0.08147919999999999,3065,2978,6043
127,2011-05-07,2:summer,0,5,0,6:saturday,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714
494,2012-05-08,2:summer,1,5,0,2:tuesday,1,2,0.581667,0.557471,0.685833,0.296029,738,4990,5728
711,2012-12-11,4:winter,1,12,0,2:tuesday,1,2,0.353333,0.338363,0.5966670000000001,0.296037,282,5219,5501
477,2012-04-21,2:summer,1,4,0,6:saturday,0,1,0.57,0.542921,0.682917,0.283587,2541,4083,6624
251,2011-09-08,3:fall,0,9,0,4:thursday,1,3,0.6339130000000001,0.555361,0.939565,0.192748,153,1689,1842
55,2011-02-24,1:spring,0,2,0,4:thursday,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807
499,2012-05-13,2:summer,1,5,0,0:sunday,0,1,0.6125,0.585238,0.57625,0.225117,2172,3946,6118
113,2011-04-23,2:summer,0,4,0,6:saturday,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036
428,2012-03-03,1:spring,1,3,0,6:saturday,0,2,0.414167,0.413492,0.62125,0.161079,956,3110,4066
560,2012-07-13,3:fall,1,7,0,5:friday,1,2,0.731667,0.667933,0.485833,0.08085,1511,5988,7499
543,2012-06-26,3:fall,1,6,0,2:tuesday,1,1,0.630833,0.594704,0.37333299999999997,0.347642,1077,6365,7442
670,2012-10-31,4:winter,1,10,0,3:wednesday,1,2,0.3575,0.3611,0.666667,0.166667,419,5147,5566
601,2012-08-23,3:fall,1,8,0,4:thursday,1,1,0.695833,0.637008,0.635833,0.08459580000000001,1363,6402,7765
465,2012-04-09,2:summer,1,4,0,1:monday,1,1,0.489167,0.476638,0.3175,0.358196,905,4680,5585
422,2012-02-26,1:spring,1,2,0,0:sunday,0,1,0.279167,0.268308,0.41,0.205229,515,2874,3389
525,2012-06-08,2:summer,1,6,0,5:friday,1,1,0.649167,0.597862,0.467917,0.17538299999999998,1488,6248,7736
376,2012-01-11,1:spring,1,1,0,3:wednesday,1,2,0.274167,0.282821,0.8475,0.131221,92,2085,2177
51,2011-02-20,1:spring,0,2,0,0:sunday,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812
119,2011-04-29,2:summer,0,4,0,5:friday,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595
12,2011-01-12,1:spring,0,1,0,3:wednesday,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162
177,2011-06-26,3:fall,0,6,0,0:sunday,0,1,0.68,0.637629,0.513333,0.09453330000000001,1920,3385,5305
384,2012-01-19,1:spring,1,1,0,4:thursday,1,1,0.19,0.190038,0.4975,0.220158,130,3162,3292
649,2012-10-10,4:winter,1,10,0,3:wednesday,1,1,0.514167,0.503142,0.630833,0.18782100000000002,780,6911,7691
614,2012-09-05,3:fall,1,9,0,3:wednesday,1,1,0.736667,0.708983,0.74125,0.187808,832,6280,7112
363,2011-12-29,1:spring,0,12,0,4:thursday,1,1,0.248333,0.263892,0.574167,0.11941199999999999,254,2169,2423
533,2012-06-16,2:summer,1,6,0,6:saturday,0,1,0.631667,0.594708,0.504167,0.166667,2963,4739,7702
424,2012-02-28,1:spring,1,2,0,2:tuesday,1,1,0.359167,0.353525,0.395833,0.193417,229,4134,4363
293,2011-10-20,4:winter,0,10,0,4:thursday,1,1,0.475833,0.466525,0.63625,0.422275,471,3724,4195
338,2011-12-04,4:winter,0,12,0,0:sunday,0,1,0.330833,0.3491,0.775833,0.08395830000000001,634,2851,3485
396,2012-01-31,1:spring,1,1,0,2:tuesday,1,1,0.39,0.381317,0.416667,0.261817,324,4185,4509
257,2011-09-14,3:fall,0,9,0,3:wednesday,1,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785
476,2012-04-20,2:summer,1,4,0,5:friday,1,1,0.526667,0.515775,0.694583,0.149871,1340,5950,7290
341,2011-12-07,4:winter,0,12,0,3:wednesday,1,3,0.41,0.400246,0.970417,0.266175,50,655,705
277,2011-10-04,4:winter,0,10,0,2:tuesday,1,1,0.484167,0.472858,0.71,0.205854,486,3970,4456
659,2012-10-20,4:winter,1,10,0,6:saturday,0,1,0.484167,0.472842,0.572917,0.11753699999999999,2806,5284,8090
229,2011-08-17,3:fall,0,8,0,3:wednesday,1,1,0.723333,0.666671,0.575417,0.14366700000000002,668,4026,4694
210,2011-07-29,3:fall,0,7,0,5:friday,1,1,0.838333,0.785967,0.5425,0.17413800000000001,670,3176,3846
274,2011-10-01,4:winter,0,10,0,6:saturday,0,2,0.41,0.41286300000000004,0.75375,0.292296,480,1949,2429
333,2011-11-29,4:winter,0,11,0,2:tuesday,1,2,0.458333,0.451375,0.830833,0.258092,96,2818,2914
638,2012-09-29,4:winter,1,9,0,6:saturday,0,1,0.5425,0.530296,0.542917,0.227604,2589,5966,8555
252,2011-09-09,3:fall,0,9,0,5:friday,1,2,0.65,0.578946,0.897917,0.12437899999999999,417,3127,3544
32,2011-02-01,1:spring,0,2,0,2:tuesday,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,47,1313,1360
211,2011-07-30,3:fall,0,7,0,6:saturday,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475
461,2012-04-05,2:summer,1,4,0,4:thursday,1,1,0.435,0.431163,0.374167,0.219529,1192,5265,6457
686,2012-11-16,4:winter,1,11,0,5:friday,1,1,0.345,0.347204,0.524583,0.171025,484,5214,5698
187,2011-07-06,3:fall,0,7,0,3:wednesday,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629
129,2011-05-09,2:summer,0,5,0,1:monday,1,1,0.5325,0.525246,0.58875,0.17600000000000002,664,3698,4362
27,2011-01-27,1:spring,0,1,0,4:thursday,1,1,0.195,0.2197,0.6875,0.113837,15,416,431
335,2011-12-01,4:winter,0,12,0,4:thursday,1,1,0.3125,0.305554,0.524583,0.220158,182,3545,3727
101,2011-04-11,2:summer,0,4,0,1:monday,1,2,0.5956520000000001,0.565217,0.716956,0.324474,855,2493,3348
661,2012-10-22,4:winter,1,10,0,1:monday,1,1,0.4875,0.482942,0.568333,0.08148330000000001,830,6228,7058
244,2011-09-01,3:fall,0,9,0,4:thursday,1,1,0.655,0.614921,0.639167,0.141796,783,4332,5115
440,2012-03-15,1:spring,1,3,0,4:thursday,1,1,0.5575,0.532825,0.579583,0.149883,1005,5187,6192
419,2012-02-23,1:spring,1,2,0,4:thursday,1,1,0.454167,0.444446,0.554583,0.190913,516,4546,5062
62,2011-03-03,1:spring,0,3,0,4:thursday,1,1,0.19833299999999998,0.200133,0.318333,0.225754,123,1562,1685
178,2011-06-27,3:fall,0,6,0,1:monday,1,2,0.6825,0.637004,0.658333,0.10758800000000002,854,3854,4708
420,2012-02-24,1:spring,1,2,0,5:friday,1,2,0.4075,0.41097100000000003,0.7375,0.237567,246,3241,3487
223,2011-08-11,3:fall,0,8,0,4:thursday,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792
537,2012-06-20,2:summer,1,6,0,3:wednesday,1,1,0.7825,0.720975,0.592083,0.11381199999999998,872,5339,6211
213,2011-08-01,3:fall,0,8,0,1:monday,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266
706,2012-12-06,4:winter,1,12,0,4:thursday,1,1,0.255833,0.258204,0.50875,0.174754,340,5035,5375
400,2012-02-04,1:spring,1,2,0,6:saturday,0,2,0.264167,0.272725,0.779583,0.121896,384,2448,2832
704,2012-12-04,4:winter,1,12,0,2:tuesday,1,1,0.475833,0.46905399999999997,0.73375,0.174129,551,6055,6606
346,2011-12-12,4:winter,0,12,0,1:monday,1,1,0.238333,0.270196,0.670833,0.06345,143,3167,3310
182,2011-07-01,3:fall,0,7,0,5:friday,1,1,0.7225,0.652162,0.39625,0.10260799999999999,1246,4116,5362
256,2011-09-13,3:fall,0,9,0,2:tuesday,1,1,0.650833,0.603554,0.7125,0.14180399999999999,701,4062,4763
483,2012-04-27,2:summer,1,4,0,5:friday,1,1,0.4575,0.452637,0.400833,0.34763299999999997,1014,5219,6233
188,2011-07-07,3:fall,0,7,0,4:thursday,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592
518,2012-06-01,2:summer,1,6,0,5:friday,1,2,0.654167,0.607962,0.755417,0.23756300000000002,533,3594,4127
727,2012-12-27,1:spring,1,12,0,4:thursday,1,2,0.25416700000000003,0.226642,0.652917,0.35013299999999997,247,1867,2114
652,2012-10-13,4:winter,1,10,0,6:saturday,0,1,0.393333,0.391396,0.494583,0.146142,2252,4857,7109
296,2011-10-23,4:winter,0,10,0,0:sunday,0,1,0.421667,0.422333,0.74125,0.0995125,1619,2762,4381
224,2011-08-12,3:fall,0,8,0,5:friday,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905
44,2011-02-13,1:spring,0,2,0,0:sunday,0,1,0.31652199999999997,0.324113,0.457391,0.260883,397,1192,1589
510,2012-05-24,2:summer,1,5,0,4:thursday,1,1,0.655,0.6067,0.716667,0.172896,1059,5711,6770
22,2011-01-22,1:spring,0,1,0,6:saturday,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981
665,2012-10-26,4:winter,1,10,0,5:friday,1,2,0.545833,0.52275,0.807083,0.132467,1182,6262,7444
589,2012-08-11,3:fall,1,8,0,6:saturday,0,2,0.6925,0.638267,0.732917,0.206479,2247,4052,6299
716,2012-12-16,4:winter,1,12,0,0:sunday,0,2,0.3625,0.369938,0.83875,0.100742,538,3248,3786
197,2011-07-16,3:fall,0,7,0,6:saturday,0,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923
59,2011-02-28,1:spring,0,2,0,1:monday,1,2,0.407273,0.400118,0.8763639999999999,0.289686,81,1365,1446
399,2012-02-03,1:spring,1,2,0,5:friday,1,1,0.313333,0.309346,0.526667,0.17849600000000002,310,3841,4151
48,2011-02-17,1:spring,0,2,0,4:thursday,1,1,0.43583299999999997,0.428658,0.505,0.230104,259,2216,2475
451,2012-03-26,2:summer,1,3,0,1:monday,1,1,0.445833,0.43875,0.477917,0.386821,795,4763,5558
436,2012-03-11,1:spring,1,3,0,0:sunday,0,1,0.361739,0.35967,0.47695699999999996,0.22258699999999998,1658,3253,4911
454,2012-03-29,2:summer,1,3,0,4:thursday,1,1,0.494167,0.482304,0.43916700000000003,0.31965,834,5299,6133
71,2011-03-12,1:spring,0,3,0,6:saturday,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132
449,2012-03-24,2:summer,1,3,0,6:saturday,0,2,0.5025,0.48673299999999997,0.885417,0.19278299999999998,1033,2339,3372
607,2012-08-29,3:fall,1,8,0,3:wednesday,1,1,0.685,0.635733,0.552083,0.112562,1177,6520,7697
342,2011-12-08,4:winter,0,12,0,4:thursday,1,1,0.265833,0.256938,0.58,0.240058,150,3172,3322
240,2011-08-28,3:fall,0,8,0,0:sunday,0,1,0.707059,0.6479590000000001,0.561765,0.304659,1415,2919,4334
8,2011-01-08,1:spring,0,1,0,6:saturday,0,2,0.165,0.162254,0.535833,0.266804,68,891,959
348,2011-12-14,4:winter,0,12,0,3:wednesday,1,2,0.3175,0.338362,0.66375,0.06095830000000001,178,3562,3740
181,2011-06-30,3:fall,0,6,0,4:thursday,1,1,0.696667,0.637008,0.434167,0.18531199999999998,1027,4488,5515
47,2011-02-16,1:spring,0,2,0,3:wednesday,1,1,0.318261,0.3162,0.42347799999999997,0.251791,218,1897,2115
9,2011-01-09,1:spring,0,1,0,0:sunday,0,1,0.13833299999999998,0.116175,0.434167,0.36195,54,768,822
14,2011-01-14,1:spring,0,1,0,5:friday,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421
438,2012-03-13,1:spring,1,3,0,2:tuesday,1,1,0.565,0.542929,0.6175,0.23695,762,5085,5847
87,2011-03-28,2:summer,0,3,0,1:monday,1,1,0.264348,0.25757399999999997,0.302174,0.212204,222,1806,2028
558,2012-07-11,3:fall,1,7,0,3:wednesday,1,1,0.716667,0.650271,0.633333,0.15173299999999998,975,6289,7264
572,2012-07-25,3:fall,1,7,0,3:wednesday,1,1,0.724167,0.654054,0.45,0.1648,1383,6790,8173
705,2012-12-05,4:winter,1,12,0,3:wednesday,1,1,0.438333,0.428012,0.485,0.324021,331,5398,5729
154,2011-06-03,2:summer,0,6,0,5:friday,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312
386,2012-01-21,1:spring,1,1,0,6:saturday,0,2,0.173333,0.174875,0.83125,0.222642,67,1234,1301
548,2012-07-01,3:fall,1,7,0,0:sunday,0,1,0.815833,0.750629,0.51875,0.16852899999999998,1421,4110,5531
681,2012-11-11,4:winter,1,11,0,0:sunday,0,1,0.420833,0.421713,0.6591670000000001,0.1275,2290,4562,6852
506,2012-05-20,2:summer,1,5,0,0:sunday,0,1,0.620833,0.583967,0.530417,0.254367,2704,4425,7129
